n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
9000,1.530000,2.330000,0.601000,0.341000,0.240000,0.187000,0.160000,0.222000,0.654000,0.371000,0.244000,0.190000,0.188000,0.219000
9500,1.732000,2.545000,0.698000,0.381000,0.236000,0.194000,0.210000,0.202000,0.793000,0.438000,0.232000,0.194000,0.184000,0.215000
1000,0.019000,0.020000,0.017000,0.016000,0.017000,0.008000,0.014000,0.009000,0.020000,0.028000,0.014000,0.008000,0.008000,0.011000
10000,1.901000,2.878000,0.720000,0.401000,0.257000,0.203000,0.199000,0.231000,0.806000,0.441000,0.290000,0.239000,0.198000,0.224000
1500,0.043000,0.043000,0.029000,0.027000,0.018000,0.014000,0.015000,0.015000,0.032000,0.020000,0.034000,0.030000,0.017000,0.015000
2000,0.075000,0.078000,0.047000,0.080000,0.028000,0.041000,0.019000,0.023000,0.044000,0.040000,0.044000,0.027000,0.021000,0.027000
2500,0.117000,0.123000,0.069000,0.038000,0.055000,0.029000,0.027000,0.025000,0.055000,0.050000,0.033000,0.031000,0.027000,0.029000
3000,0.179000,0.186000,0.077000,0.050000,0.040000,0.066000,0.041000,0.051000,0.079000,0.050000,0.040000,0.040000,0.079000,0.055000
3500,0.230000,0.263000,0.096000,0.099000,0.052000,0.042000,0.042000,0.043000,0.103000,0.093000,0.088000,0.044000,0.038000,0.043000
4000,0.300000,0.341000,0.123000,0.076000,0.062000,0.092000,0.067000,0.051000,0.137000,0.088000,0.108000,0.088000,0.055000,0.058000
4500,0.379000,0.442000,0.154000,0.101000,0.067000,0.073000,0.060000,0.064000,0.176000,0.136000,0.070000,0.086000,0.063000,0.060000
500,0.005000,0.005000,0.005000,0.005000,0.004000,0.005000,0.004000,0.007000,0.006000,0.004000,0.004000,0.005000,0.004000,0.006000
5000,0.468000,0.582000,0.182000,0.160000,0.089000,0.075000,0.091000,0.083000,0.252000,0.202000,0.121000,0.151000,0.069000,0.097000
5500,0.574000,0.726000,0.223000,0.177000,0.084000,0.136000,0.079000,0.090000,0.245000,0.134000,0.100000,0.077000,0.075000,0.109000
6000,0.681000,0.896000,0.281000,0.168000,0.141000,0.140000,0.081000,0.202000,0.294000,0.169000,0.105000,0.097000,0.098000,0.113000
6500,0.798000,1.059000,0.322000,0.190000,0.137000,0.137000,0.106000,0.121000,0.349000,0.196000,0.150000,0.105000,0.141000,0.114000
7000,0.925000,1.268000,0.381000,0.211000,0.120000,0.117000,0.128000,0.125000,0.401000,0.225000,0.183000,0.110000,0.168000,0.140000
7500,1.065000,1.493000,0.428000,0.247000,0.178000,0.139000,0.126000,0.150000,0.469000,0.257000,0.146000,0.151000,0.149000,0.150000
8000,1.220000,1.763000,0.487000,0.262000,0.175000,0.190000,0.153000,0.163000,0.540000,0.330000,0.166000,0.181000,0.148000,0.144000
8500,1.368000,1.973000,0.532000,0.307000,0.214000,0.195000,0.149000,0.226000,0.579000,0.320000,0.200000,0.159000,0.173000,0.162000
9000,1.574000,2.266000,0.594000,0.352000,0.243000,0.167000,0.187000,0.207000,0.644000,0.372000,0.244000,0.172000,0.194000,0.207000
9500,1.706000,2.561000,0.661000,0.381000,0.241000,0.181000,0.166000,0.187000,0.722000,0.401000,0.249000,0.204000,0.181000,0.189000
1000,0.019000,0.020000,0.032000,0.011000,0.010000,0.010000,0.009000,0.014000,0.017000,0.015000,0.017000,0.010000,0.014000,0.015000
10000,1.900000,2.831000,0.739000,0.401000,0.252000,0.209000,0.219000,0.267000,0.888000,0.448000,0.294000,0.218000,0.215000,0.225000
1500,0.042000,0.042000,0.032000,0.020000,0.018000,0.014000,0.014000,0.015000,0.029000,0.027000,0.020000,0.031000,0.019000,0.015000
2000,0.075000,0.077000,0.041000,0.037000,0.027000,0.023000,0.031000,0.026000,0.045000,0.041000,0.037000,0.023000,0.021000,0.025000
2500,0.117000,0.123000,0.094000,0.037000,0.033000,0.030000,0.035000,0.028000,0.060000,0.047000,0.031000,0.068000,0.041000,0.025000
3000,0.169000,0.181000,0.076000,0.095000,0.040000,0.084000,0.042000,0.038000,0.076000,0.096000,0.035000,0.070000,0.032000,0.035000
3500,0.229000,0.251000,0.157000,0.062000,0.055000,0.046000,0.073000,0.044000,0.105000,0.100000,0.050000,0.041000,0.037000,0.038000
4000,0.299000,0.344000,0.138000,0.080000,0.069000,0.055000,0.085000,0.047000,0.137000,0.108000,0.064000,0.061000,0.055000,0.049000
