n,threads,time
35000000,96,0.079000
40000000,3,0.206000
40000000,6,0.146000
40000000,12,0.096000
40000000,24,0.063000
40000000,48,0.064000
40000000,96,0.068000
45000000,3,0.234000
45000000,6,0.148000
45000000,12,0.070000
45000000,24,0.066000
45000000,48,0.073000
45000000,96,0.067000
50000000,3,0.273000
50000000,6,0.150000
50000000,12,0.080000
50000000,24,0.091000
50000000,48,0.076000
50000000,96,0.069000
55000000,3,0.297000
55000000,6,0.165000
55000000,12,0.085000
55000000,24,0.059000
55000000,48,0.072000
55000000,96,0.080000
60000000,3,0.305000
60000000,6,0.175000
60000000,12,0.139000
60000000,24,0.068000
60000000,48,0.071000
60000000,96,0.079000
65000000,3,0.333000
65000000,6,0.202000
65000000,12,0.127000
65000000,24,0.081000
65000000,48,0.085000
65000000,96,0.111000
70000000,3,0.354000
70000000,6,0.190000
70000000,12,0.135000
70000000,24,0.065000
70000000,48,0.086000
70000000,96,0.087000
75000000,3,0.372000
75000000,6,0.203000
75000000,12,0.155000
75000000,24,0.110000
75000000,48,0.073000
75000000,96,0.088000
80000000,3,0.412000
80000000,6,0.214000
80000000,12,0.154000
80000000,24,0.124000
80000000,48,0.080000
80000000,96,0.093000
85000000,3,0.428000
85000000,6,0.226000
85000000,12,0.154000
85000000,24,0.093000
85000000,48,0.109000
85000000,96,0.105000
90000000,3,0.460000
90000000,6,0.268000
90000000,12,0.146000
90000000,24,0.093000
90000000,48,0.110000
90000000,96,0.118000
95000000,3,0.476000
95000000,6,0.258000
95000000,12,0.152000
95000000,24,0.091000
95000000,48,0.107000
95000000,96,0.097000
100000000,3,0.512000
100000000,6,0.289000
100000000,12,0.157000
100000000,24,0.083000
100000000,48,0.100000
100000000,96,0.111000
5000000,3,0.036000
5000000,6,0.038000
5000000,12,0.024000
5000000,24,0.013000
5000000,48,0.020000
5000000,96,0.020000
10000000,3,0.077000
10000000,6,0.037000
10000000,12,0.033000
10000000,24,0.038000
10000000,48,0.020000
10000000,96,0.040000
15000000,3,0.085000
15000000,6,0.070000
15000000,12,0.032000
15000000,24,0.031000
15000000,48,0.030000
15000000,96,0.039000
20000000,3,0.105000
20000000,6,0.085000
20000000,12,0.068000
20000000,24,0.033000
20000000,48,0.058000
20000000,96,0.043000
25000000,3,0.145000
25000000,6,0.105000
25000000,12,0.046000
25000000,24,0.028000
25000000,48,0.041000
25000000,96,0.041000
30000000,3,0.165000
30000000,6,0.092000
30000000,12,0.069000
30000000,24,0.045000
30000000,48,0.047000
30000000,96,0.054000
35000000,3,0.183000
35000000,6,0.119000
35000000,12,0.076000
35000000,24,0.048000
35000000,48,0.057000
35000000,96,0.058000
40000000,3,0.212000
40000000,6,0.110000
40000000,12,0.089000
40000000,24,0.067000
40000000,48,0.065000
40000000,96,0.060000
45000000,3,0.234000
45000000,6,0.125000
45000000,12,0.127000
45000000,24,0.059000
45000000,48,0.053000
45000000,96,0.081000
50000000,3,0.253000
50000000,6,0.156000
50000000,12,0.081000
50000000,24,0.057000
50000000,48,0.069000
50000000,96,0.072000
55000000,3,0.279000
55000000,6,0.170000
55000000,12,0.085000
55000000,24,0.051000
55000000,48,0.068000
55000000,96,0.064000
60000000,3,0.315000
60000000,6,0.173000
60000000,12,0.092000
60000000,24,0.087000
60000000,48,0.066000
60000000,96,0.082000
65000000,3,0.334000
65000000,6,0.191000
65000000,12,0.122000
65000000,24,0.108000
65000000,48,0.086000
65000000,96,0.095000
70000000,3,0.362000
70000000,6,0.192000
70000000,12,0.118000
70000000,24,0.062000
70000000,48,0.082000
70000000,96,0.105000
75000000,3,0.384000
75000000,6,0.204000
75000000,12,0.129000
75000000,24,0.067000
75000000,48,0.108000
75000000,96,0.098000
80000000,3,0.413000
80000000,6,0.217000
80000000,12,0.122000
80000000,24,0.099000
80000000,48,0.094000
80000000,96,0.086000
85000000,3,0.421000
85000000,6,0.222000
85000000,12,0.139000
85000000,24,0.079000
85000000,48,0.088000
85000000,96,0.093000
90000000,3,0.467000
90000000,6,0.249000
90000000,12,0.139000
90000000,24,0.105000
90000000,48,0.096000
90000000,96,0.096000
95000000,3,0.475000
95000000,6,0.263000
95000000,12,0.142000
95000000,24,0.107000
95000000,48,0.107000
95000000,96,0.098000
100000000,3,0.498000
100000000,6,0.273000
100000000,12,0.151000
100000000,24,0.146000
100000000,48,0.100000
100000000,96,0.093000
5000000,3,0.046000
5000000,6,0.025000
5000000,12,0.024000
5000000,24,0.014000
5000000,48,0.019000
5000000,96,0.018000
10000000,3,0.063000
10000000,6,0.044000
10000000,12,0.038000
10000000,24,0.024000
10000000,48,0.023000
10000000,96,0.035000
15000000,3,0.086000
15000000,6,0.049000
15000000,12,0.036000
15000000,24,0.028000
15000000,48,0.031000
15000000,96,0.045000
20000000,3,0.107000
20000000,6,0.062000
20000000,12,0.038000
20000000,24,0.033000
20000000,48,0.049000
20000000,96,0.048000
25000000,3,0.135000
25000000,6,0.093000
25000000,12,0.053000
25000000,24,0.047000
25000000,48,0.037000
25000000,96,0.052000
30000000,3,0.167000
30000000,6,0.125000
30000000,12,0.051000
30000000,24,0.033000
30000000,48,0.044000
30000000,96,0.052000
35000000,3,0.184000
35000000,6,0.100000
35000000,12,0.059000
35000000,24,0.049000
35000000,48,0.064000
35000000,96,0.076000
40000000,3,0.212000
40000000,6,0.138000
40000000,12,0.092000
40000000,24,0.040000
40000000,48,0.053000
40000000,96,0.065000
45000000,3,0.240000
45000000,6,0.129000
45000000,12,0.097000
45000000,24,0.056000
45000000,48,0.051000
45000000,96,0.062000
50000000,3,0.260000
50000000,6,0.133000
50000000,12,0.091000
50000000,24,0.047000
50000000,48,0.065000
50000000,96,0.095000
55000000,3,0.288000
55000000,6,0.170000
55000000,12,0.096000
55000000,24,0.055000
55000000,48,0.077000
55000000,96,0.070000
60000000,3,0.318000
60000000,6,0.161000
60000000,12,0.114000
60000000,24,0.065000
60000000,48,0.103000
60000000,96,0.071000
65000000,3,0.339000
65000000,6,0.176000
65000000,12,0.113000
65000000,24,0.088000
65000000,48,0.072000
65000000,96,0.114000
70000000,3,0.366000
70000000,6,0.203000
70000000,12,0.135000
70000000,24,0.091000
70000000,48,0.084000
70000000,96,0.102000
75000000,3,0.384000
75000000,6,0.197000
75000000,12,0.115000
75000000,24,0.101000
75000000,48,0.100000
75000000,96,0.105000
80000000,3,0.410000
80000000,6,0.247000
80000000,12,0.123000
80000000,24,0.087000
80000000,48,0.084000
80000000,96,0.090000
85000000,3,0.436000
85000000,6,0.222000
85000000,12,0.127000
85000000,24,0.130000
85000000,48,0.095000
85000000,96,0.106000
90000000,3,0.455000
90000000,6,0.251000
90000000,12,0.161000
90000000,24,0.106000
90000000,48,0.094000
90000000,96,0.093000
95000000,3,0.461000
95000000,6,0.259000
95000000,12,0.160000
95000000,24,0.112000
95000000,48,0.083000
95000000,96,0.119000
100000000,3,0.511000
100000000,6,0.271000
100000000,12,0.149000
100000000,24,0.083000
100000000,48,0.100000
100000000,96,0.106000
5000000,3,0.048000
5000000,6,0.035000
5000000,12,0.015000
5000000,24,0.015000
5000000,48,0.023000
5000000,96,0.022000
10000000,3,0.062000
10000000,6,0.043000
10000000,12,0.025000
10000000,24,0.028000
10000000,48,0.029000
10000000,96,0.027000
15000000,3,0.094000
15000000,6,0.059000
15000000,12,0.032000
15000000,24,0.034000
15000000,48,0.031000
15000000,96,0.033000
20000000,3,0.112000
20000000,6,0.077000
20000000,12,0.035000
20000000,24,0.042000
20000000,48,0.035000
20000000,96,0.056000
25000000,3,0.133000
25000000,6,0.079000
25000000,12,0.057000
25000000,24,0.036000
25000000,48,0.055000
25000000,96,0.057000
30000000,3,0.160000
30000000,6,0.099000
30000000,12,0.049000
30000000,24,0.052000
30000000,48,0.055000
30000000,96,0.085000
35000000,3,0.188000
35000000,6,0.110000
35000000,12,0.077000
35000000,24,0.052000
35000000,48,0.061000
35000000,96,0.080000
40000000,3,0.208000
40000000,6,0.129000
40000000,12,0.070000
40000000,24,0.057000
40000000,48,0.057000
40000000,96,0.082000
45000000,3,0.231000
45000000,6,0.138000
45000000,12,0.071000
45000000,24,0.056000
45000000,48,0.065000
45000000,96,0.066000
50000000,3,0.252000
50000000,6,0.142000
50000000,12,0.090000
50000000,24,0.064000
50000000,48,0.080000
50000000,96,0.082000
55000000,3,0.284000
55000000,6,0.148000
55000000,12,0.095000
55000000,24,0.063000
55000000,48,0.078000
55000000,96,0.075000
60000000,3,0.312000
60000000,6,0.175000
60000000,12,0.103000
60000000,24,0.060000
60000000,48,0.073000
60000000,96,0.092000
65000000,3,0.343000
65000000,6,0.177000
65000000,12,0.103000
65000000,24,0.088000
65000000,48,0.091000
65000000,96,0.073000
70000000,3,0.362000
70000000,6,0.187000
70000000,12,0.109000
