n,threads,time
50000000,12,0.067000
50000000,24,0.058000
50000000,48,0.052000
50000000,96,0.063000
55000000,3,0.243000
55000000,6,0.137000
55000000,12,0.084000
55000000,24,0.067000
55000000,48,0.063000
55000000,96,0.102000
60000000,3,0.248000
60000000,6,0.144000
60000000,12,0.081000
60000000,24,0.072000
60000000,48,0.073000
60000000,96,0.084000
65000000,3,0.285000
65000000,6,0.174000
65000000,12,0.084000
65000000,24,0.081000
65000000,48,0.077000
65000000,96,0.099000
70000000,3,0.308000
70000000,6,0.154000
70000000,12,0.114000
70000000,24,0.082000
70000000,48,0.077000
70000000,96,0.094000
75000000,3,0.324000
75000000,6,0.164000
75000000,12,0.096000
75000000,24,0.087000
75000000,48,0.107000
75000000,96,0.093000
80000000,3,0.331000
80000000,6,0.178000
80000000,12,0.110000
80000000,24,0.071000
80000000,48,0.069000
80000000,96,0.079000
85000000,3,0.363000
85000000,6,0.203000
85000000,12,0.109000
85000000,24,0.094000
85000000,48,0.093000
85000000,96,0.099000
90000000,3,0.383000
90000000,6,0.210000
90000000,12,0.116000
90000000,24,0.083000
90000000,48,0.097000
90000000,96,0.120000
95000000,3,0.404000
95000000,6,0.213000
95000000,12,0.121000
95000000,24,0.114000
95000000,48,0.092000
95000000,96,0.134000
100000000,3,0.424000
100000000,6,0.214000
100000000,12,0.147000
100000000,24,0.090000
100000000,48,0.077000
100000000,96,0.131000
5000000,3,0.039000
5000000,6,0.023000
5000000,12,0.017000
5000000,24,0.013000
5000000,48,0.013000
5000000,96,0.022000
10000000,3,0.054000
10000000,6,0.036000
10000000,12,0.021000
10000000,24,0.021000
10000000,48,0.029000
10000000,96,0.028000
15000000,3,0.079000
15000000,6,0.076000
15000000,12,0.029000
15000000,24,0.033000
15000000,48,0.026000
15000000,96,0.033000
20000000,3,0.093000
20000000,6,0.059000
20000000,12,0.034000
20000000,24,0.035000
20000000,48,0.040000
20000000,96,0.054000
25000000,3,0.128000
25000000,6,0.063000
25000000,12,0.061000
25000000,24,0.042000
25000000,48,0.047000
25000000,96,0.043000
30000000,3,0.135000
30000000,6,0.108000
30000000,12,0.045000
30000000,24,0.048000
30000000,48,0.058000
30000000,96,0.054000
35000000,3,0.157000
35000000,6,0.084000
35000000,12,0.061000
35000000,24,0.068000
35000000,48,0.067000
35000000,96,0.048000
40000000,3,0.170000
40000000,6,0.108000
40000000,12,0.067000
40000000,24,0.053000
40000000,48,0.044000
40000000,96,0.056000
45000000,3,0.192000
45000000,6,0.118000
45000000,12,0.062000
45000000,24,0.054000
45000000,48,0.061000
45000000,96,0.063000
50000000,3,0.216000
50000000,6,0.143000
50000000,12,0.097000
50000000,24,0.055000
50000000,48,0.061000
50000000,96,0.077000
55000000,3,0.242000
55000000,6,0.139000
55000000,12,0.084000
55000000,24,0.069000
55000000,48,0.063000
55000000,96,0.079000
60000000,3,0.254000
60000000,6,0.155000
60000000,12,0.089000
60000000,24,0.084000
60000000,48,0.073000
60000000,96,0.087000
65000000,3,0.273000
65000000,6,0.143000
65000000,12,0.085000
65000000,24,0.076000
65000000,48,0.070000
65000000,96,0.097000
70000000,3,0.294000
70000000,6,0.155000
70000000,12,0.089000
70000000,24,0.061000
70000000,48,0.077000
70000000,96,0.077000
75000000,3,0.322000
75000000,6,0.180000
75000000,12,0.099000
75000000,24,0.090000
75000000,48,0.097000
75000000,96,0.101000
80000000,3,0.334000
80000000,6,0.178000
80000000,12,0.102000
80000000,24,0.087000
