n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
500,0.004807,0.004785,0.008282,0.006473,0.011266,0.003593,0.014098,0.015801,0.005036,0.002944,0.003758,0.003874,0.008885,0.015125
5000,0.468003,0.568093,0.527461,0.614958,0.719890,0.699014,0.841735,0.904602,0.572996,0.587866,0.700139,0.892355,0.912867,0.804085
5500,0.573192,0.737655,0.622829,0.657382,0.806618,0.989850,1.146190,0.947833,0.725579,0.731617,0.832695,1.113277,0.919788,0.831936
6000,0.681765,0.928756,0.803263,0.923117,1.046310,1.463308,2.754507,5.492608,0.846607,0.930873,1.057792,1.358588,1.420156,1.766598
6500,0.797531,1.051241,0.871292,1.042575,1.105230,1.241293,1.807039,1.823813,0.944351,1.107429,1.243284,1.468979,1.881416,2.085477
7000,0.924341,1.295432,1.065160,1.104429,1.361739,3.011449,2.023801,4.752893,1.135624,1.215309,1.430035,1.634198,1.899527,1.935613
7500,1.069518,1.484499,1.212211,1.350684,1.796452,2.242820,1.931128,5.837484,1.289308,1.377880,1.436491,1.832338,2.067041,2.070686
8000,1.217921,1.728852,1.358779,1.531292,2.145641,3.707139,2.834751,3.033257,1.464385,1.541925,1.661483,1.976785,2.336119,3.056981
8500,1.367469,1.940560,1.583384,1.677701,1.693468,1.988961,3.317580,6.825534,1.628490,1.719938,1.970649,2.563924,2.799281,2.887901
9000,1.539273,2.319565,1.700189,1.827960,2.244221,2.271296,2.463292,7.481143,1.876530,1.944204,2.220250,2.701991,3.231860,2.704840
9500,1.710170,2.642621,1.886412,2.031774,2.456407,2.768720,4.024717,3.836134,2.045203,2.350776,2.434429,3.024680,3.155348,3.504836
1000,0.018746,0.020334,0.034062,0.033926,0.009771,0.027004,0.025388,0.016176,0.037844,0.025679,0.005948,0.019028,0.022360,0.026131
10000,2.013205,2.887353,2.077797,2.210320,2.725006,3.351896,3.516231,4.232056,2.250957,2.311441,2.550821,3.086224,3.765966,3.792676
1500,0.042417,0.042447,0.075946,0.084370,0.098659,0.111387,0.033905,0.072911,0.073018,0.092111,0.095666,0.083686,0.037776,0.036598
2000,0.074968,0.078123,0.108722,0.134919,0.152085,0.196714,0.177259,0.142178,0.097959,0.143398,0.122591,0.156964,0.162021,0.155329
2500,0.116917,0.123120,0.155439,0.194314,0.229778,0.245371,0.160885,0.111334,0.171212,0.190275,0.242149,0.313728,0.211566,0.131544
3000,0.169940,0.179616,0.252046,0.231700,0.305256,0.237702,0.233117,0.210214,0.217486,0.268950,0.250406,0.378529,0.232394,0.277358
3500,0.229427,0.249395,0.272384,0.327689,0.391739,0.387433,0.363536,0.452903,0.284935,0.316631,0.385817,0.515892,0.472841,0.441892
4000,0.299643,0.342608,0.354432,0.387101,0.410858,0.585029,0.509520,0.411958,0.369519,0.391628,0.480217,0.441002,0.496179,0.480202
4500,0.379284,0.448035,0.427537,0.466459,0.553031,0.571643,0.785810,0.698460,0.463409,0.553316,0.550134,0.709214,0.534152,0.558355
500,0.004742,0.004804,0.011765,0.001571,0.006609,0.004024,0.015730,0.017476,0.005179,0.008139,0.008200,0.005591,0.008864,0.017970
5000,0.467887,0.578247,0.525643,0.619054,0.741200,0.928194,0.871598,0.702698,0.564955,0.588611,0.667255,0.815604,0.751023,0.821418
5500,0.573659,0.709330,0.632326,0.733992,0.806080,0.841682,0.997811,0.932579,0.741854,0.731121,0.844438,1.002308,1.026309,0.943700
6000,0.680779,0.905160,0.824373,0.916185,1.280024,2.780008,1.680397,1.244084,0.843259,0.905532,0.900434,1.210580,1.531404,1.568057
6500,0.797224,1.052398,0.933396,1.042585,1.256782,1.307332,1.805554,4.865014,0.987418,1.060433,1.231003,1.482081,2.081692,2.015906
7000,0.924894,1.269672,1.067612,1.174531,1.617747,3.079820,1.793575,5.152998,1.128427,1.208259,1.450048,1.617274,1.800929,1.774365
7500,1.103877,1.484297,1.210101,1.353002,1.836980,1.566752,1.847562,5.574735,1.297055,1.368698,1.563899,1.784423,2.201718,2.279197
8000,1.218359,1.763957,1.371181,1.373922,2.018397,1.740330,3.156539,2.201489,1.495724,1.552994,1.737338,1.945939,2.428867,2.377386
8500,1.367054,1.938885,1.538227,1.676153,2.186333,2.072258,4.273597,7.773981,1.631699,1.726806,1.949132,2.484417,2.570045,2.877519
9000,1.529772,2.242634,1.748860,1.763426,2.237428,5.131987,3.183558,3.351380,1.852407,1.937923,2.205261,2.770304,3.140541,3.459512
9500,1.763231,2.584562,1.874314,2.035372,2.334519,3.699074,3.145965,3.946743,2.061413,2.130379,2.453585,2.718879,3.102948,3.478618
1000,0.018707,0.020387,0.038896,0.045594,0.021430,0.026109,0.014627,0.025831,0.034690,0.024810,0.019140,0.015721,0.026504,0.020150
10000,1.898636,2.880570,2.075962,2.158730,2.694877,2.927681,3.524009,3.883250,2.274586,2.368469,2.652448,3.311696,3.766824,3.832950
1500,0.042099,0.042331,0.071115,0.097605,0.096490,0.082431,0.030913,0.037329,0.072983,0.095243,0.064492,0.065713,0.040280,0.019577
2000,0.074877,0.082454,0.100839,0.144639,0.160028,0.133205,0.149329,0.123218,0.109374,0.127222,0.143575,0.127162,0.051832,0.073974
2500,0.116914,0.123104,0.151046,0.195873,0.200988,0.242914,0.312689,0.287505,0.150067,0.189915,0.196537,0.173799,0.264555,0.078369
3000,0.168499,0.180392,0.204136,0.225378,0.256750,0.395652,0.408487,0.242248,0.217563,0.232422,0.312202,0.365284,0.403292,0.221235
3500,0.229593,0.256831,0.270405,0.303697,0.391804,0.376380,0.503060,0.332538,0.288824,0.315747,0.383271,0.407254,0.503288,0.341199
4000,0.300524,0.341140,0.334940,0.408443,0.425398,0.585855,0.601766,0.394533,0.372763,0.393414,0.435336,0.541826,0.636415,0.484710
4500,0.379094,0.442646,0.427261,0.481599,0.608206,0.757088,0.822901,0.809212,0.457235,0.556607,0.582074,0.591384,0.612861,0.478290
500,0.004856,0.004842,0.013558,0.003903,0.002413,0.004786,0.005578,0.017527,0.001350,0.004127,0.005020,0.004481,0.008195,0.016020
5000,0.467910,0.588734,0.525029,0.583653,0.714910,0.860413,0.931701,0.757931,0.565042,0.660010,0.662926,0.896445,0.743811,0.778754
5500,0.574710,0.713381,0.629665,0.794608,0.797612,0.855797,1.011603,1.182004,0.726665,0.730424,0.796028,1.052157,0.962617,0.977250
6000,0.681459,0.889732,0.808539,0.908326,1.262060,1.103197,1.253209,5.448691,0.850156,0.926699,0.919390,1.518521,1.620470,1.816230
6500,0.832420,1.040208,0.932505,1.054493,1.181564,2.787991,1.746069,1.683865,0.987709,1.072197,1.175715,1.524790,1.609677,1.928886
7000,0.929533,1.258959,1.065126,1.175836,1.588179,1.544309,2.055335,5.143654,1.191212,1.206110,1.276948,1.905706,1.754919,1.930748
7500,1.065371,1.552668,1.214318,1.338076,1.782745,1.505056,2.347405,3.353137,1.312510,1.363164,1.454899,1.769403,1.932991,2.266649
8000,1.221524,1.712884,1.412555,1.539227,2.001141,2.068331,2.831640,8.064006,1.461532,1.515630,1.598705,2.131985,2.203388,2.298302
